accession	description
CAUYQM010000000	Cephalopachus bancanus genome assembly
CAUYQN010000000	Papio ursinus genome assembly
CAUYQO010000000	Nomascus gabriellae genome assembly
CAUYQP010000000	Plecturocebus cupreus isolate JT037 genome assembly
CAUYQQ010000000	Mico humilis isolate CCM138 genome assembly
CAUYQR010000000	Varecia variegata genome assembly
CAUYQS010000000	Otolemur crassicaudatus genome assembly
CAUYQT010000000	Plecturocebus grovesi isolate RVR22 genome assembly
CAUYQU010000000	Cheracebus regulus isolate JT051 genome assembly
CAUYQV010000000	Galagoides demidoff genome assembly
CAUYQW010000000	Mico humeralifer isolate TAP211 genome assembly
CAUYQX010000000	Cheracebus torquatus isolate PUR154 genome assembly
CAUYQY010000000	Propithecus deckenii coronatus genome assembly
CAUYQZ010000000	Cercopithecus neglectus genome assembly
CAUYRB010000000	Propithecus perrieri genome assembly
CAUYRC010000000	Cercopithecus campbelli lowei genome assembly
CAUYRH010000000	Perodicticus potto genome assembly
CAUYRI010000000	Plecturocebus bernhardi isolate MPEG04 genome assembly
CAUYRK010000000	Perodicticus potto ibeanus genome assembly
CAUYRL010000000	Papio cynocephalus genome assembly
CAUYRM010000000	Cebus olivaceus isolate JPB142 genome assembly
CAUYRN010000000	Sapajus apella macrocephalus isolate FES27 genome assembly
CAUYRP010000000	Saguinus inustus isolate JPB85 genome assembly
CAUYRQ010000000	Colobus polykomos genome assembly
CAUYRR010000000	Aotus trivirgatus isolate JPB134 genome assembly
CAUYRS010000000	Piliocolobus kirkii genome assembly
CAUYRT010000000	Lepilemur ruficaudatus genome assembly
CAUYRU010000000	Cercopithecus hamlyni genome assembly
CAUYRV010000000	Trachypithecus francoisi genome assembly
CAUYRW010000000	Lepilemur dorsalis genome assembly
CAUYRX010000000	Cercopithecus diana genome assembly
CAUYRY010000000	Eulemur rubriventer genome assembly
CAUYRZ010000000	Pithecia chrysocephala isolate CCM253 genome assembly
CAUYSA010000000	Nasalis larvatus genome assembly
CAUYSB010000000	Macaca maura genome assembly
CAUYSC010000000	Ateles chamek isolate RVR96 genome assembly
CAUYSD010000000	Eulemur macaco genome assembly
CAUYSE010000000	Hylobates muelleri abbotti genome assembly
CAUYSF010000000	Eulemur flavifrons genome assembly
CAUYSG010000000	Eulemur coronatus genome assembly
CAUYSH010000000	Allochrocebus preussi genome assembly
CAUYSI010000000	Pithecia mittermeieri isolate TAP214 genome assembly
CAUYSJ010000000	Eulemur fulvus collaris genome assembly
CAUYSK010000000	Avahi laniger genome assembly
CAUYSL010000000	Propithecus edwardsi genome assembly
CAUYSM010000000	Saguinus oedipus genome assembly
CAUYSN010000000	Cebuella niveiventris isolate JT32 genome assembly
CAUYSO010000000	Propithecus diadema genome assembly
CAUYSP010000000	Nomascus concolor genome assembly
CAUYSQ010000000	Saguinus imperator genome assembly
CAUYSR010000000	Saguinus labiatus genome assembly
CAUYSS010000000	Cercopithecus pogonias genome assembly
CAUYST010000000	Trachypithecus vetulus genome assembly
CAUYSU010000000	Cercopithecus nictitans genome assembly
CAUYSW010000000	Cercopithecus petaurista genome assembly
CAUYSX010000000	Cebuella pygmaea isolate JAP720 genome assembly
CAUYSY010000000	Hapalemur griseus meridionalis genome assembly
CAUYTA010000000	Propithecus verreauxi genome assembly
CAUYTB010000000	Gorilla beringei genome assembly
CAUYTD010000000	Hapalemur occidentalis genome assembly
CAUYTE010000000	Alouatta belzebul isolate TAP313 genome assembly
CAUYTF010000000	Hapalemur griseus genome assembly
CAUYTG010000000	Chlorocebus pygerythrus genome assembly
CAUYTH010000000	Plecturocebus dubius isolate UFRO.M.427 genome assembly
CAUYTI010000000	Galago senegalensis genome assembly
CAUYTJ010000000	Plecturocebus hoffmannsi isolate TAP234 genome assembly
CAUYTN010000000	Plecturocebus caligatus isolate CCM248 genome assembly
CAUYTP010000000	Plecturocebus miltoni isolate FES13 genome assembly
CAUYTQ010000000	Allochrocebus solatus genome assembly
CAUYTR010000000	Pithecia pissinatti isolate CCM103 genome assembly
CAUYTS010000000	Alouatta discolor isolate TAP315 genome assembly
CAUYTU010000000	Indri indri isolate BS62 genome assembly
CAUYTV010000000	Presbytis melalophos mitrata genome assembly
CAUYUD010000000	Alouatta caraya genome assembly
CAUYUF010000000	Cercopithecus cephus genome assembly
CAUYUG010000000	Leontocebus fuscicollis genome assembly
CAUYUH010000000	Leontocebus nigricollis isolate FES50 genome assembly
CAUYMV010000000	Cercocebus atys lunulatus genome assembly
CAUYQI010000000	Hapalemur griseus alaotrensis genome assembly
